Numero,Tempo_Sequencial,Tempo_5_Threads,Tempo_10_Threads
1449884982,384322,627846,694133
1587628043,391234,601903,541443
1967296103,407803,390346,439255
287449931,434587,396094,444849
587278513,422115,406208,690413
1857057403,427739,417198,988840
112272777,417672,1584552,1256063
324085496,416066,1093702,981718
1633009925,441344,1005687,937482
1614909060,419719,1139241,874726
627808846,438434,401573,856693
1465949477,447411,1425685,1178902
1517468436,450678,1250641,1063059
1132681131,443169,758663,649829
476744694,440205,522605,716228
1024201359,438543,385649,1214451
1932911735,430936,430616,592775
124030688,443470,534664,627180
110656764,450170,332356,430859
2097561204,440697,317430,432996
2115634523,447680,354155,567366
1102360657,461635,379477,554861
1575384014,460812,395209,536651
236340673,467352,445216,538933
1746945648,471391,636836,1004272
1958856766,470127,1214959,648823
82288959,474880,664166,766265
270456191,485247,1153839,1963115
1855837417,476732,993080,1489802
261606615,470076,412031,883966
1297245320,499547,451317,608882
1158238752,482721,462799,562396
1849234658,460750,341885,1465989
1117057775,479407,956911,750687
1445688683,491310,1516414,4030220
289029524,475210,651383,785065
826631530,492926,1400981,701206
1557961460,509190,622554,569147
613115020,486429,513400,1558651
312157807,518103,5374836,1088208
1025386872,493477,988125,751215
1240923867,501395,483186,1007043
1778107285,471090,1069538,1146837
395371661,471851,1299306,4268828
226121350,491493,994055,1443302
107368331,472923,436612,726819
1419573020,493604,469119,780849
11549437,524875,3906012,872648
231399019,476325,1697270,1658661
1530229784,493582,1680622,896529
2109110641,538846,597197,1517279
199549895,479093,818861,2237310
485106794,872822,1088634,1016063
1537011007,491261,542379,964296
435890568,487928,957472,832263
84568794,490493,815810,636912
1348384126,538119,382827,644697
518179527,472804,441097,568163
355024985,484427,578658,590981
1056737895,503760,1414540,1346190
779786143,505204,3899413,794419
1652270306,499133,2067530,1044662
67492999,491521,497028,886708
481537153,490578,770502,742620
621844433,502422,439452,435212
1513181682,483695,395306,533021
770566677,484682,416964,422212
1448475964,496089,323573,486012
923659494,491366,372131,477411
1383681698,489597,408761,491794
1760633771,501571,356890,640394
1949046367,488390,412822,469416
477121917,556497,384396,637975
1391257408,552108,386940,557932
196934380,484285,365158,744682
703243267,500844,792729,2316248
1498625739,518143,1796603,4567273
1616507400,500424,1554319,774523
714792704,503070,2313879,1423748
1730024759,507371,887748,789426
999253536,503050,2271689,990639
676419697,522084,1523112,820843
1929574654,500396,426790,848118
1484360330,519075,1952004,1920323
65947057,495869,1591970,835319
217981574,526217,4326585,1409965
1568929124,510443,632334,813018
1414331183,529768,498205,1045774
736161101,523164,2144046,783491
1923954110,514259,867985,6098589
323585430,556016,647100,490243
1515947244,495446,388800,505061
1428740768,577538,585724,950030
391078430,519298,1855986,2049938
1997484398,511938,1454061,993615
2050585201,510652,1649386,1422883
1904260112,493860,361956,484643
620567427,525744,327660,489766
1351577517,504725,356276,890068
680435959,523350,2116879,931513
2004249125,508370,1229527,1507960
964727641,520381,859471,830404
481998678,503535,703737,983655
333887394,515592,1262302,772889
208501401,527251,782342,842678
678933058,506423,1234434,1316627
1037130661,508327,1129825,1205268
1707127141,542067,2872231,1781006
147956810,539309,1701502,782467
1751923365,556519,495780,566624
1289668252,535864,495131,715896
1147210346,534163,437475,606898
280859415,545262,940185,5654510
1071759258,646970,511051,793401
484087029,528511,947160,1826210
346806472,538149,463467,821985
1289740832,653555,712718,686296
2053016153,628267,533085,840255
1761137655,546653,1283332,1121354
2025901933,561373,1653828,5780432
1829486615,555489,1121711,1647156
2084723085,571363,705930,918192
1394365530,639835,469838,585408
1110743735,546980,451021,516619
328317867,569925,492856,994768
1244366280,555348,511662,536659
1013845289,551766,465116,824691
85094332,655713,553178,651355
1864933707,564338,565668,1097784
217939158,563113,1043448,4254104
765530291,583702,2873607,2113901
1721699185,564328,524900,1029584
1182666799,564074,667753,1258924
1247528969,608238,1010261,1454331
2055586579,567646,677093,876014
1391168201,579360,812555,934670
1926462027,580582,785281,994128
945233593,583297,847135,984680
950811694,623769,960830,1624413
2074418837,606502,593559,747673
549673310,572728,507814,598810
92996298,586592,422317,458066
1074145535,580271,434037,527316
830532725,599246,873714,597869
1164755556,582178,329238,527023
1558232564,610497,399209,482088
1177339197,594010,535963,1816821
307012740,590104,1232999,1048183
1463765070,593688,895068,951972
790993204,622621,1720224,966854
185431025,588687,899232,731527
1145768037,579475,406862,570990
728232642,574741,355024,655328
1579796555,569295,842241,3230139
109028125,590705,2905679,1233668
1056550509,610050,2584027,1555564
676679187,639512,782571,753173
1122873414,609468,953491,1037782
1141644841,735410,597968,573050
394129247,606087,405164,724467
1340812572,602065,415870,768283
1907175132,655030,473727,562134
2115828432,609107,425521,533344
375995724,599854,448599,739033
1007220453,608990,445922,549292
2023931363,614435,646981,1464801
1767163925,1130825,1411772,1296415
786198832,618919,1686544,1038520
821681308,644799,1334025,1211422
570491971,600691,764792,771571
713134021,598721,782138,2429789
1371354619,728357,690422,1346760
663488269,624038,588912,927923
1787279557,635008,390727,560066
54403696,624491,426922,507784
1828243825,640656,450962,505638
1198028473,630307,344721,498308
1231742894,627986,411001,619716
2135256565,675912,997990,1485529
514309895,686475,1875709,835730
2022736098,642017,997557,860530
173203942,633212,711437,1364726
1660077933,652111,807618,731839
603485092,734839,880338,754084
1753000498,632070,464772,663190
1769106058,656638,431618,822738
1660035602,634997,458997,589906
282196037,630434,428815,476272
744495824,643754,354984,883416
654196795,628291,344228,500945
676325284,669792,465667,473356
2085308396,627936,361706,529652
413888280,626417,523176,527435
644670068,631748,429942,772854
313820472,662304,2772340,1317857
1421108733,769279,865480,1070853
521117784,622167,674446,1240739
2080984397,650145,2283648,803324
59823918,643954,428637,474079
1342799092,672975,421900,694621
503992720,656025,2456727,966167
772957939,627656,1084147,1181862
566670063,634705,971328,1031868
1167480989,647152,953386,934039
412753848,652765,949648,818224
621073760,637190,603435,984532
848241166,631073,623146,947524
1610782322,647304,577124,689056
1852816654,626059,453186,821141
836014083,626151,489116,564231
2125092217,651191,394491,591979
1728069104,663869,371624,541653
1009218026,626335,369569,608556
1637686502,630050,452887,652507
184070549,671335,1334342,1952545
614734876,658847,915740,959716
1259308912,643932,771454,833838
1844106151,657633,918739,817866
896930913,623290,1728733,1101486
2003804736,748779,862851,998317
350819298,629595,928064,1080378
1573256198,639851,520207,741258
1941629485,627891,463668,574167
764707578,643036,403159,1082067
70442618,638043,468374,814341
107966309,627025,467578,592934
38332664,673427,334171,471601
591560402,630679,467254,705024
41467059,663797,875783,898933
98156582,652419,1387591,1229157
1934359495,638109,908849,1072672
545459779,626651,782499,1011424
871114521,616013,788540,800929
353545910,643470,1066197,728832
1712940769,640170,494096,945681
1283868370,630564,1453615,1742911
974619670,648908,673849,799405
413698287,653362,713077,1246667
747167044,636167,1119495,1139442
679952676,650782,1795175,1057653
1249712371,659174,531911,758064
724775613,639139,752508,2076760
260538133,663232,1077709,3009513
111446749,668074,1040959,1467023
214978468,802623,1102432,1044883
444608682,671843,853243,686533
726181625,748781,1355195,3074529
1474287380,668179,4402098,856269
141231185,688298,403558,537765
1623112538,649767,424476,911225
1330608469,663984,2034548,1585610
492050483,654617,974369,1787122
1048885088,685746,1284662,1229137
1124754306,658088,892405,2670223
1256758062,681714,536557,944442
1119327707,706814,451572,798673
1232720615,677515,534928,661120
1295090726,682378,457110,613143
1710888109,673042,415887,511434
1274187674,681187,485961,533334
1393247308,684934,437689,513317
1497763956,683072,359914,512999
1819647454,683137,452919,682407
116878181,707395,501788,1119495
1851309867,694877,1673978,1410213
1385104575,704600,974330,1358150
1400746551,686205,628774,915516
678445889,693160,1097170,1229562
1798802862,684327,903430,692789
429947,679621,590859,1043180
1358398566,792040,528259,561602
901031585,673661,463816,507249
725205561,681518,396246,629648
1618936699,684240,501528,522175
1012478334,721727,357395,500239
940184029,692555,488050,581874
2063545381,707282,519851,1156204
1738659959,734993,505492,721026
266987761,781762,1274039,1183409
57292918,733649,715275,932853
1214288850,742642,653497,1001940
1597596230,743832,3615723,993996
549343401,716561,510399,743032
115690290,741833,1323291,2321344
574866888,742844,1181542,998419
1806101463,755925,1545706,1884930
1235017997,740519,672367,1025290
1807587504,749286,412691,574756
953708541,717025,633255,1589702
798422459,756904,1516011,1436491
934291530,741226,1763479,847380
199472201,753130,1437903,2775644
148702767,732987,796130,840419
606455336,799378,612941,785963
316350383,758510,1145427,1087509
2000012634,728832,903864,1729881
1991559911,718093,2511697,1642176
1717096934,749055,628000,806034
530974876,715457,966916,710632
1642879126,772456,505962,983417
1717526882,741088,858016,1182216
1889373442,1163827,1352480,1067357
396427063,744456,752789,1203595
295248795,714348,1953182,1203955
1360826493,733604,1085564,1223522
1408905398,727026,680006,705240
1235432824,761898,2481067,1596885
1276888226,740315,2041083,1014899
1000081709,735675,1029606,1392538
1502420585,723289,2260375,1085969
1334181144,722624,585659,1232291
66886911,753679,2940715,1101925
952533168,728321,1116280,1160821
1883524545,744904,1904788,1341708
182577202,736980,846915,873305
1527400056,728035,823172,839689
1542142361,817090,1820836,1056439
1417595199,754921,1447017,3896031
1187503912,748319,1202550,2181199
348367254,752737,859211,1064899
68534010,733915,451286,620119
2121795443,720614,832156,1006924
547839456,764103,403532,658415
217236778,723115,443048,818073
580767131,718791,722733,831176
864189839,770756,1469768,1718988
69765764,767811,1201872,1496484
424843395,745822,1731430,857997
433803125,739333,521543,689494
600740640,735607,670752,752544
2067722521,740401,448878,1656733
3846359,756519,1194225,1065809
